id,bank,city,state,date,date_numbers,acquired_by,assets_mil,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,geojson
341,Greater Atlantic Bank,Reston,Virginia,1259884800000,20091204,Sonabank,203,110,1357420806903,1357420943264,1,-77.35457,38.95937,"{""type"":""Point"",""coordinates"":[-77.35457,38.95937]}"
342,Community Bank of West Georgia,Villa Rica,Georgia,1245974400000,20090626,None (insured depositors paid directly),199.4,112,1357420806903,1357420944722,1,-84.92013,33.73278,"{""type"":""Point"",""coordinates"":[-84.92013,33.73278]}"
343,American Sterling Bank,Sugar Creek,Missouri,1239926400000,20090417,Metcalf Bank,181,115,1357420806903,1357420947170,1,-94.44468,39.11373,"{""type"":""Point"",""coordinates"":[-94.44468,39.11373]}"
344,Citizens State Bank,New Baltimore,Michigan,1261094400000,20091218,None (insured depositors paid directly),169,118,1357420806903,1357420949792,1,-82.7353,42.68221,"{""type"":""Point"",""coordinates"":[-82.7353,42.68221]}"
345,United Security Bank,Sparta,Georgia,1257465600000,20091106,Ameris Bank,157,123,1357420806903,1357420954098,1,-82.97643,33.27636,"{""type"":""Point"",""coordinates"":[-82.97643,33.27636]}"
346,ebank,Atlanta,Georgia,1250812800000,20090821,"Stearns Bank, N.A.",143,126,1357420806903,1357420957092,1,-84.39111,33.74831,"{""type"":""Point"",""coordinates"":[-84.39111,33.74831]}"
347,Sherman County Bank,Loup City,Nebraska,1234483200000,20090213,Heritage Bank,129.8,129,1357420806903,1357420959159,1,-98.96948,41.27474,"{""type"":""Point"",""coordinates"":[-98.96948,41.27474]}"
348,Colorado National Bank,Colorado Springs,Colorado,1237507200000,20090320,Herring Bank,123.9,132,1357420806903,1357420962299,1,-104.82181,38.83345,"{""type"":""Point"",""coordinates"":[-104.82181,38.83345]}"
349,Citizens National Bank,Teague,Texas,1256860800000,20091030,"U.S. Bank, N.A.",118,135,1357420806903,1357420965222,1,-96284,31.62769,"{""type"":""Point"",""coordinates"":[-96.284,31.62769]}"
350,American United Bank,Lawrenceville,Georgia,1256256000000,20091023,Ameris Bank,111,138,1357420806903,1357420967803,1,-83.98799,33.95246,"{""type"":""Point"",""coordinates"":[-83.98799,33.95246]}"
351,First State Bank of Altus,Altus,Oklahoma,1248998400000,20090731,Herring Bank,103,141,1357420806903,1357420970169,1,-99.33326,34.63783,"{""type"":""Point"",""coordinates"":[-99.33326,34.63783]}"
352,Hillcrest Bank Florida,Naples,Florida,1256256000000,20091023,"Hillcrest Bank, N.A.",83,144,1357420806903,1357420972899,1,-81.79579,26.13909,"{""type"":""Point"",""coordinates"":[-81.79579,26.13909]}"
353,Commerce Bank of Southwest Florida,Fort Myers,Florida,1258675200000,20091120,Central Bank,80,147,1357420806903,1357420975205,1,-81.86819,26.64084,"{""type"":""Point"",""coordinates"":[-81.86819,26.64084]}"
354,Brickwell Community Bank,Woodbury,Minnesota,1252627200000,20090911,"CorTrust Bank, N.A.",72,150,1357420806903,1357420977816,1,-92.94061,44.91987,"{""type"":""Point"",""coordinates"":[-92.94061,44.91987]}"
355,Waterford Village Bank,Williamsville,New York,1248393600000,20090724,"Evans Bank, N.A.",61,154,1357420806903,1357420980950,1,-78.7449,42.96285,"{""type"":""Point"",""coordinates"":[-78.7449,42.96285]}"
356,Elizabeth State Bank,Elizabeth,Illinois,1246492800000,20090702,Galena State Bank and Trust Company,56,155,1357420806903,1357420981866,1,-90.22382,42.31865,"{""type"":""Point"",""coordinates"":[-90.22382,42.31865]}"
357,"Valley Capital Bank, N.A.",Mesa,Arizona,1260489600000,20091211,Enterprise Bank and Trust,40,160,1357420806903,1357420985863,1,-111.83146,33.41704,"{""type"":""Point"",""coordinates"":[-111.83146,33.41704]}"
358,Home Federal Savings Bank,Detroit,Michigan,1257465600000,20091106,Liberty Bank and Trust Company,15,164,1357420806903,1357420991316,1,-83.04792,42.33168,"{""type"":""Point"",""coordinates"":[-83.04792,42.33168]}"
359,Westernbank Puerto Rico,Mayaguez,Puerto Rico,1272585600000,20100430,Banco Popular de Puerto Rico,11940,166,1357420806903,1357420992624,1,-67.1469,18.20368,"{""type"":""Point"",""coordinates"":[-67.1469,18.20368]}"
360,Riverside National Bank of Florida,Fort Pierce,Florida,1271376000000,20100416,"TD Bank, N.A.",3420,170,1357420806903,1357420996728,1,-80.32661,27.44865,"{""type"":""Point"",""coordinates"":[-80.32661,27.44865]}"
361,TierOne Bank,Lincoln,Nebraska,1275609600000,20100604,Great Western Bank,2800,173,1357420806903,1357420999476,1,-96.70774,40.81362,"{""type"":""Point"",""coordinates"":[-96.70774,40.81362]}"
362,ShoreBank,Chicago,Illinois,1282262400000,20100820,Urban Partnership Bank,2160,176,1357420806903,1357421001968,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
363,Hillcrest Bank,Overland Park,Kansas,1287705600000,20101022,"Hillcrest Bank, N.A.",1600,179,1357420806903,1357421004307,1,-94.67168,38.98489,"{""type"":""Point"",""coordinates"":[-94.67168,38.98489]}"
364,Charter Bank,Sante Fe,New Mexico,1264118400000,20100122,Charter Bank,1200,182,1357420806903,1357421006647,1,-105.93796,35.69168,"{""type"":""Point"",""coordinates"":[-105.93796,35.69168]}"
365,City Bank,Lynnwood,Washington,1271376000000,20100416,Whidbey Island Bank,1130,185,1357420806903,1357421009459,1,-122.29244,47.82532,"{""type"":""Point"",""coordinates"":[-122.29244,47.82532]}"
366,Crescent Bank and Trust Co,Jasper,Georgia,1279843200000,20100723,Renasant Bank,1000,188,1357420806903,1357421012190,1,-84.42696,34.46847,"{""type"":""Point"",""coordinates"":[-84.42696,34.46847]}"
367,First National Bank of Georgia,Carrollton,Georgia,1264723200000,20100129,Community and Southern Bank,833,191,1357420806903,1357421014167,1,-85.07841,33.5813,"{""type"":""Point"",""coordinates"":[-85.07841,33.5813]}"
368,Rainier Pacific Bank,Tacoma,Washington,1267142400000,20100226,Umpqua Bank,718,195,1357420806903,1357421017219,1,-122.44165,47.25513,"{""type"":""Point"",""coordinates"":[-122.44165,47.25513]}"
369,Darby Bank & Trust,Vidalia,Georgia,1289520000000,20101112,Ameris Bank,655,197,1357420806903,1357421018685,1,-82.41242,32.21727,"{""type"":""Point"",""coordinates"":[-82.41242,32.21727]}"
370,Bank of Florida-Southeast,Fort Lauderdale,Florida,1275004800000,20100528,EverBank,595,201,1357420806903,1357421022368,1,-80.14356,26.12367,"{""type"":""Point"",""coordinates"":[-80.14356,26.12367]}"
371,K Bank,Randallstown,Maryland,1288915200000,20101105,Manufacturers and Traders Trust Company,538,204,1357420806903,1357421029095,1,-76.78264,39.36284,"{""type"":""Point"",""coordinates"":[-76.78264,39.36284]}"
372,Washington First International Bank,Seattle,Washington,1276214400000,20100611,East West Bank,521,207,1357420806903,1357421033607,1,-122.32944,47.60356,"{""type"":""Point"",""coordinates"":[-122.32944,47.60356]}"
373,Butte Community Bank,Chico,California,1282262400000,20100820,"Rabobbank, N.A.",499,210,1357420806903,1357421036911,1,-121.84198,39732,"{""type"":""Point"",""coordinates"":[-121.84198,39.732]}"
374,Evergreen Bank,Seattle,Washington,1264118400000,20100122,Umpqua Bank,489,213,1357420806903,1357421039342,1,-122.32944,47.60356,"{""type"":""Point"",""coordinates"":[-122.32944,47.60356]}"
375,"The Bank of Miami, N.A.",Coral Gables,Florida,1292544000000,20101217,1st United Bank,448,216,1357420806903,1357421041615,1,-80.26295,25.74923,"{""type"":""Point"",""coordinates"":[-80.26295,25.74923]}"
376,Peoples Bank,Winder,Georgia,1284681600000,20100917,Community and Southern Bank,447,217,1357420806903,1357421042486,1,-83.72249,33.99121,"{""type"":""Point"",""coordinates"":[-83.72249,33.99121]}"
377,Wheatland Bank,Naperville,Illinois,1271980800000,20100423,Wheaton Bank and Trust,437,219,1357420806903,1357421044109,1,-88.15302,41.77053,"{""type"":""Point"",""coordinates"":[-88.15302,41.77053]}"
378,First Federal Bank of North Florida,Palatka,Florida,1271376000000,20100416,"TD Bank, N.A.",393,223,1357420806903,1357421050404,1,-81.63703,29.64853,"{""type"":""Point"",""coordinates"":[-81.63703,29.64853]}"
379,American Marine Bank,Bainbridge Island,Washington,1264723200000,20100129,Columbia State Bank,373,226,1357420806903,1357421053403,1,-122521,47.62693,"{""type"":""Point"",""coordinates"":[-122.521,47.62693]}"
380,Sun West Bank,Las Vegas,Nevada,1275004800000,20100528,City National Bank,361,229,1357420806903,1357421056678,1,-115.13997,36.17191,"{""type"":""Point"",""coordinates"":[-115.13997,36.17191]}"
381,Sonoma Valley Bank,Sonoma,California,1282262400000,20100820,Westamerica Bank,337,232,1357420806903,1357421059067,1,-122.45725,38.29188,"{""type"":""Point"",""coordinates"":[-122.45725,38.29188]}"
382,Pacific State Bank,Stockton,California,1282262400000,20100820,"Rabobbank, N.A.",312,235,1357420806903,1357421062486,1,-121.29075,37.95367,"{""type"":""Point"",""coordinates"":[-121.29075,37.95367]}"
383,Bay National Bank,Baltimore,Maryland,1278633600000,20100709,"Bay Bank, FSB",282,238,1357420806903,1357421065184,1,-76.60926,39.29058,"{""type"":""Point"",""coordinates"":[-76.60926,39.29058]}"
384,First Arizona Savings,Scottsdale,Arizona,1287705600000,20101022,None (insured depositors paid directly),272,239,1357420806903,1357421065896,1,-111.92069,33494,"{""type"":""Point"",""coordinates"":[-111.92069,33.494]}"
385,Ravenswood Bank,Chicago,Illinois,1281052800000,20100806,Northbrook Bank and Trust Company,265,242,1357420806903,1357421070167,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
386,Home Valley Bank,Cave Junction,Oregon,1279843200000,20100723,South Valley Bank and Trust,252,246,1357420806903,1357421073710,1,-123.64676,42.16348,"{""type"":""Point"",""coordinates"":[-123.64676,42.16348]}"
387,Chestatee State Bank,Dawsonville,Georgia,1292544000000,20101217,Bank of the Ozarks,244,249,1357420806903,1357421076469,1,-84.11694,34.42127,"{""type"":""Point"",""coordinates"":[-84.11694,34.42127]}"
388,Statewide Bank,Covington,Louisiana,1268352000000,20100312,Home Bank,243,250,1357420806903,1357421077168,1,-90.0953,30.47968,"{""type"":""Point"",""coordinates"":[-90.0953,30.47968]}"
389,Bank of Illinois,Normal,Illinois,1267747200000,20100305,Heartland Bank and Trust Company,212,255,1357420806903,1357421081479,1,-88.99414,40.51082,"{""type"":""Point"",""coordinates"":[-88.99414,40.51082]}"
390,Lincoln Park Saving Bank,Chicago,Illinois,1271980800000,20100423,Northbrook Bank and Trust Company,200,258,1357420806903,1357421085104,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
391,Champion Bank,Creve Coeur,Missouri,1272585600000,20100430,BankLiberty,187,262,1357420806903,1357421088557,1,-90.44325,38.66253,"{""type"":""Point"",""coordinates"":[-90.44325,38.66253]}"
392,NorthWest Bank and Trust,Acworth,Georgia,1280448000000,20100730,State Bank and Trust Company,168,265,1357420806903,1357421090316,1,-84.6774,34.06543,"{""type"":""Point"",""coordinates"":[-84.6774,34.06543]}"
393,Haven Trust Bank Florida,Ponte Vedra Beach,Florida,1285286400000,20100924,First Southern Bank,149,269,1357420806903,1357421093565,1,-81.38597,30.22576,"{""type"":""Point"",""coordinates"":[-81.38597,30.22576]}"
394,Tifton Banking Company,Tifton,Georgia,1289520000000,20101112,Ameris Bank,144,271,1357420806903,1357421095028,1,-83.50932,31.45138,"{""type"":""Point"",""coordinates"":[-83.50932,31.45138]}"
395,Williamsburg First National Bank,Kingstree,South Carolina,1279843200000,20100723,First Citizens Bank and Trust Company,139,272,1357420806903,1357421095886,1,-79.82896,33.66413,"{""type"":""Point"",""coordinates"":[-79.82896,33.66413]}"
396,First National Bank of Barnesville,Barnesville,Georgia,1287705600000,20101022,United Bank,131,275,1357420806903,1357421098041,1,-84.15284,33.05456,"{""type"":""Point"",""coordinates"":[-84.15284,33.05456]}"
397,Towne Bank of Arizona,Mesa,Arizona,1273190400000,20100507,Commerce Bank of Arizona,120,278,1357420806903,1357421100357,1,-111.83146,33.41704,"{""type"":""Point"",""coordinates"":[-111.83146,33.41704]}"
398,New Liberty Bank,Plymouth,Michigan,1273795200000,20100514,Bank of Ann Arbor,109,282,1357420806903,1357421103721,1,-83.46792,42.37199,"{""type"":""Point"",""coordinates"":[-83.46792,42.37199]}"
399,Allegiance Bank of North America,Bala Cynwyd,Pennsylvania,1290124800000,20101119,VIST Bank,106,284,1357420806903,1357421105217,1,-75.24013,40.00406,"{""type"":""Point"",""coordinates"":[-75.24013,40.00406]}"
400,Century Security Bank,Duluth,Georgia,1268956800000,20100319,Bank of Upson,97,288,1357420806903,1357421108367,1,-84.14496,34.00336,"{""type"":""Point"",""coordinates"":[-84.14496,34.00336]}"
401,WestBridge Bank and Trust Company,Chesterfield,Missouri,1287100800000,20101015,Midland State Bank,92,291,1357420806903,1357421110739,1,-90.55428,38.6538,"{""type"":""Point"",""coordinates"":[-90.55428,38.6538]}"
402,High Desert State Bank,Albuquerque,New Mexico,1277424000000,20100625,First American Bank,81,295,1357420806903,1357421114634,1,-106.64864,35.08418,"{""type"":""Point"",""coordinates"":[-106.64864,35.08418]}"
403,Citizens Bank and Trust Company of Chicago,Chicago,Illinois,1271980800000,20100423,Republic Bank of Chicago,77,297,1357420806903,1357421116339,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
404,Appalachian Community Bank,McCaysville,Georgia,1292544000000,20101217,Peoples Bank of East Tennessee,68,301,1357420806903,1357421119468,1,-84.37041,34.98763,"{""type"":""Point"",""coordinates"":[-84.37041,34.98763]}"
405,"Marshall Bank, N.A.",Hallock,Minnesota,1264723200000,20100129,United Valley Bank,60,305,1357420806903,1357421122854,1,-96.94588,48.77545,"{""type"":""Point"",""coordinates"":[-96.94588,48.77545]}"
406,The La Coste National Bank,La Coste,Texas,1266537600000,20100219,Community National Bank,54,307,1357420806903,1357421124400,1,-98.81417,29.30998,"{""type"":""Point"",""coordinates"":[-98.81417,29.30998]}"
407,First Vietnamese American Bank,Westminster,California,1288915200000,20101105,Grandpoint Bank,48,311,1357420806903,1357421127316,1,-117.9865,33.7593,"{""type"":""Point"",""coordinates"":[-117.9865,33.7593]}"
408,Gordon Bank,Gordon,Georgia,1287705600000,20101022,Morris Bank,29,314,1357420806903,1357421129808,1,-83.34286,32.88318,"{""type"":""Point"",""coordinates"":[-83.34286,32.88318]}"
409,St. Stephen State Bank,St. Stephen,Minnesota,1263513600000,20100115,First State Bank of St. Joseph,25,317,1357420806903,1357421132308,1,-94.27457,45.7043,"{""type"":""Point"",""coordinates"":[-94.27457,45.7043]}"
410,Arcola Homestead Savings Bank,Arcola,Illinois,1275609600000,20100604,None (insured depositors paid directly),17,320,1357420806903,1357421134733,1,-88.30929,39.68266,"{""type"":""Point"",""coordinates"":[-88.30929,39.68266]}"
411,First Community Bank,Taos,New Mexico,1296172800000,20110128,"U.S. Bank, N.A.",2300,324,1357420806903,1357421138857,1,-105.57425,36.4116,"{""type"":""Point"",""coordinates"":[-105.57425,36.4116]}"
412,"Integra Bank, NA",Evansville,Indiana,1311897600000,20110729,Old National Bank,2200,325,1357420806903,1357421139640,1,-87.56412,37.97691,"{""type"":""Point"",""coordinates"":[-87.56412,37.97691]}"
413,United Western Bank,Denver,Colorado,1295568000000,20110121,First-Citizens Bank and Trust Company,1650,327,1357420806903,1357421141030,1,-104.9923,39.74001,"{""type"":""Point"",""coordinates"":[-104.9923,39.74001]}"
414,First Chicago Bank & Trust,Chicago,Illinois,1310083200000,20110708,Northbrook Bank and Trust Company,959.3,331,1357420806903,1357421144036,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
415,FirsTier Bank,Louisville,Colorado,1296172800000,20110128,None (insured depositors paid directly),782,334,1357420806903,1357421146467,1,-105.13212,39.97729,"{""type"":""Point"",""coordinates"":[-105.13212,39.97729]}"
416,Colorado Capital Bank,Castle Rock,Colorado,1310083200000,20110708,First-Citizens Bank and Trust Company,717.5,337,1357420806903,1357421149056,1,-104.85996,39.37591,"{""type"":""Point"",""coordinates"":[-104.85996,39.37591]}"
417,Community Central Bank,Mount Clemens,Michigan,1304035200000,20110429,Talmer Bank and Trust,476,341,1357420806903,1357421154069,1,-82.87741,42.5966,"{""type"":""Point"",""coordinates"":[-82.87741,42.5966]}"
418,Habersham Bank,Clarkesville,Georgia,1297987200000,20110218,"SCBT, NA",387,345,1357420806903,1357421159360,1,-83.52192,34.60863,"{""type"":""Point"",""coordinates"":[-83.52192,34.60863]}"
419,Sun Security Bank,Ellington,Missouri,1317945600000,20111007,Great Southern Bank,355.9,348,1357420806903,1357421161538,1,-90.96767,37.24209,"{""type"":""Point"",""coordinates"":[-90.96767,37.24209]}"
420,"San Luis Trust Bank, FSB",San Luis Obispo,California,1297987200000,20110218,First California Bank,333,351,1357420806903,1357421164119,1,-120.66252,35.28552,"{""type"":""Point"",""coordinates"":[-120.66252,35.28552]}"
421,First National Bank of Florida,Milton,Florida,1315526400000,20110909,Charter Bank,296.8,354,1357420806903,1357421166532,1,-87.03815,30.6336,"{""type"":""Point"",""coordinates"":[-87.03815,30.6336]}"
422,Evergreen State Bank,Stoughton,Wisconsin,1296172800000,20110128,McFarland State Bank,247,357,1357420806903,1357421169394,1,-89.21729,42.91675,"{""type"":""Point"",""coordinates"":[-89.21729,42.91675]}"
423,American Trust Bank,Roswell,Georgia,1296777600000,20110204,Renasant Bank,238,360,1357420806903,1357421172097,1,-84.3603,34.02166,"{""type"":""Point"",""coordinates"":[-84.3603,34.02166]}"
424,Heritage Banking Group,Carthage,Mississippi,1302825600000,20110415,TrustMark National Bank,224,363,1357420806903,1357421174922,1,-89.53803,32.74551,"{""type"":""Point"",""coordinates"":[-89.53803,32.74551]}"
425,Canyon National Bank,Palm Springs,California,1297382400000,20110211,Pacific Premier Bank,211,366,1357420806903,1357421177416,1,-116.51211,33.82321,"{""type"":""Point"",""coordinates"":[-116.51211,33.82321]}"
426,High Trust Bank,Stockbridge,Georgia,1310688000000,20110715,Ameris Bank,192.5,370,1357420806903,1357421181055,1,-84.2277,33.54378,"{""type"":""Point"",""coordinates"":[-84.2277,33.54378]}"
427,Legacy Bank,Milwaukee,Wisconsin,1299801600000,20110311,Seaway Bank and Trust Company,190,373,1357420806903,1357421183311,1,-87.90684,43.04181,"{""type"":""Point"",""coordinates"":[-87.90684,43.04181]}"
428,Western Springs National Bank and Trust,Western Springs,Illinois,1302480000000,20110411,Heartland Bank and Trust Company,186,376,1357420806903,1357421185476,1,-87.89808,41.81001,"{""type"":""Point"",""coordinates"":[-87.89808,41.81001]}"
429,Community Capital Bank,Jonesboro,Georgia,1319155200000,20111021,State Bank and Trust Company,181.2,377,1357420806903,1357421186378,1,-84.35407,33.52198,"{""type"":""Point"",""coordinates"":[-84.35407,33.52198]}"
430,First Southern National Bank,Statesboro,Georgia,1313712000000,20110819,Heritage Bank of the South,164.6,379,1357420806903,1357421188598,1,-81.78333,32.44891,"{""type"":""Point"",""coordinates"":[-81.78333,32.44891]}"
431,Blue Ridge Savings Bank,Asheville,North Carolina,1318550400000,20111014,Bank of North Carolina,161,382,1357420806903,1357421193077,1,-82.55314,35.59846,"{""type"":""Point"",""coordinates"":[-82.55314,35.59846]}"
432,Patriot Bank of Georgia,Cumming,Georgia,1314921600000,20110902,Georgia Commerce Bank,150.8,385,1357420806903,1357421195683,1,-84.13994,34.20357,"{""type"":""Point"",""coordinates"":[-84.13994,34.20357]}"
433,Coastal Bank,Cocoa Beach,Florida,1304640000000,20110506,Florida Community Bank,129,389,1357420806903,1357421198922,1,-80.61007,28.3175,"{""type"":""Point"",""coordinates"":[-80.61007,28.3175]}"
434,Valley Community Bank,St. Charles,Illinois,1298592000000,20110225,First State Bank,123,392,1357420806903,1357421201980,1,-88.31284,41.91376,"{""type"":""Point"",""coordinates"":[-88.31284,41.91376]}"
435,New Horizons Bank,East Ellijay,Georgia,1302825600000,20110415,Citizens South Bank,110,395,1357420806903,1357421204390,1,-84.47375,34.68551,"{""type"":""Point"",""coordinates"":[-84.47375,34.68551]}"
436,First Commercial Bank of Tampa Bay,Tampa,Florida,1308268800000,20110617,Stonegate Bank,98.6,399,1357420806903,1357421207748,1,-82.45927,27.94653,"{""type"":""Point"",""coordinates"":[-82.45927,27.94653]}"
437,Polk County Bank,Johnston,Iowa,1321574400000,20111118,Grinnell State Bank,91.6,402,1357420806903,1357421210821,1,-93.71218,41.67212,"{""type"":""Point"",""coordinates"":[-93.71218,41.67212]}"
438,First National Bank of Davis,Davis,Oklahoma,1299801600000,20110311,The Pauls Valley National Bank,90,403,1357420806903,1357421211763,1,-97.11978,34.50503,"{""type"":""Point"",""coordinates"":[-97.11978,34.50503]}"
439,Community Bank of Rockmart,Rockmart,Georgia,1320883200000,20111110,Century Bank of Georgia,62.4,408,1357420806903,1357421215885,1,-85.0414,34.0032,"{""type"":""Point"",""coordinates"":[-85.0414,34.0032]}"
440,Southshore Community Bank,Apollo Beach,Florida,1311292800000,20110722,American Momentum Bank,46.3,411,1357420806903,1357421218614,1,-82.39254,27.76907,"{""type"":""Point"",""coordinates"":[-82.39254,27.76907]}"
441,Tennessee Commerce Bank,Franklin,Tennessee,1327622400000,20120127,Republic Bank & Trust Company,1185,415,1357420806903,1357421223046,1,-86.87093,35.92425,"{""type"":""Point"",""coordinates"":[-86.87093,35.92425]}"
442,Waccamaw Bank,Whiteville,North Carolina,1339113600000,20120608,First Community Bank,533.1,418,1357420806903,1357421226085,1,-78.70314,34.34101,"{""type"":""Point"",""coordinates"":[-78.70314,34.34101]}"
443,Home Savings of America,Little Falls,Minnesota,1330041600000,20120224,None (Closed permanently by the FDIC),434.1,421,1357420806903,1357421228114,1,-94.3708,45.97718,"{""type"":""Point"",""coordinates"":[-94.3708,45.97718]}"
444,First Cherokee State Bank,Woodstock,Georgia,1342742400000,20120720,Community & Southern Bank,222.7,426,1357420806903,1357421232535,1,-84.51879,34.10284,"{""type"":""Point"",""coordinates"":[-84.51879,34.10284]}"
445,Second Federal Savings and Loan Association of Chicago,Chicago,Illinois,1342742400000,20120720,Hinsdale Bank & Trust Company,199.1,428,1357420806903,1357421234256,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
446,Montgomery Bank and Trust,Ailey,Georgia,1341532800000,20120706,Ameris,173.6,430,1357420806903,1357421235732,1,-82.5663,32.18726,"{""type"":""Point"",""coordinates"":[-82.5663,32.18726]}"
447,Putnam State Bank,Palatka,Florida,1339718400000,20120615,Harbor Community Bank,169.5,431,1357420806903,1357421237045,1,-81.63703,29.64853,"{""type"":""Point"",""coordinates"":[-81.63703,29.64853]}"
448,The Farmers Bank of Lynchburg,Lynchburg,Tennessee,1339718400000,20120615,Clayton Bank and Trust,163.9,434,1357420806903,1357421239698,1,-86.37393,35.28345,"{""type"":""Point"",""coordinates"":[-86.37393,35.28345]}"
449,Georgia Trust Bank,Buford,Georgia,1342742400000,20120720,Community & Southern Bank,119.8,438,1357420806903,1357421244830,1,-84006,34.11926,"{""type"":""Point"",""coordinates"":[-84.006,34.11926]}"
450,"Security Bank, NA",North Lauderdale,Florida,1336089600000,20120504,Banesco,101,441,1357420806903,1357421250553,1,-80.22059,26.22219,"{""type"":""Point"",""coordinates"":[-80.22059,26.22219]}"
451,Charter National Bank and Trust,Hoffman Estates,Illinois,1328832000000,20120210,"Barrington Bank & Trust Company, NA",93.9,443,1357420806903,1357421253450,1,-88.12374,42.06281,"{""type"":""Point"",""coordinates"":[-88.12374,42.06281]}"
452,"Fort Lee Federal Savings Bank, FSB",Fort Lee,New Jersey,1334880000000,20120420,Alma Bank,51.9,448,1357420806903,1357421259819,1,-73.97335,40.85277,"{""type"":""Point"",""coordinates"":[-73.97335,40.85277]}"
453,Farmers and Traders State Bank,Shabbona,Illinois,1339113600000,20120608,First State Bank,43.1,451,1357420806903,1357421263117,1,-88.8729,41.76799,"{""type"":""Point"",""coordinates"":[-88.8729,41.76799]}"
