id,bank,city,state,date,date_numbers,acquired_by,assets_mil,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,geojson
138,The Park Avenue Bank,New York,New York,1268352000000,20100312,Valley National Bank,520,208,1357420806903,1357421035205,1,-74.00712,40.71455,"{""type"":""Point"",""coordinates"":[-74.00712,40.71455]}"
139,"Security Savings Bank, FSB",Olathe,Kansas,1287100800000,20101015,Simmons First National Bank,508,209,1357420806903,1357421035968,1,-94.81887,38.88353,"{""type"":""Point"",""coordinates"":[-94.81887,38.88353]}"
140,Desert Hills Bank,Phoenix,Arizona,1269561600000,20100326,New York Community Bank,497,211,1357420806903,1357421037954,1,-112.07577,33.44826,"{""type"":""Point"",""coordinates"":[-112.07577,33.44826]}"
141,Palos Bank and Trust,Palos Heights,Illinois,1281657600000,20100813,First Midwest Bank,493,212,1357420806903,1357421038662,1,-87.80754,41.6751,"{""type"":""Point"",""coordinates"":[-87.80754,41.6751]}"
142,New Century Bank,Chicago,Illinois,1271980800000,20100423,"MB Financial, N.A.",486,214,1357420806903,1357421040133,1,-87.63241,41.88415,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
143,Nevada Security Bank,Reno,Nevada,1276819200000,20100618,Umpqua Bank,480,215,1357420806903,1357421040819,1,-119.81344,39.52738,"{""type"":""Point"",""coordinates"":[-119.81344,39.52738]}"
144,Metro Bank of Dade County,Miami,Florida,1279238400000,20100716,NAFH National Bank,442,218,1357420806903,1357421043335,1,-80.19773,25.77481,"{""type"":""Point"",""coordinates"":[-80.19773,25.77481]}"
145,Wakulla Bank,Crawfordville,Florida,1285891200000,20101001,Centennial Bank,424,220,1357420806903,1357421044940,1,-84.37548,30.17627,"{""type"":""Point"",""coordinates"":[-84.37548,30.17627]}"
146,George Washington Savings Bank,Orland Park,Illinois,1266537600000,20100219,"FirstMerit Bank, N.A.",413,221,1357420806903,1357421048897,1,-87.85347,41.61728,"{""type"":""Point"",""coordinates"":[-87.85347,41.61728]}"
147,Sterling Bank,Lantana,Florida,1279843200000,20100723,IBERIABANK,408,222,1357420806903,1357421049739,1,-80.05503,26.57687,"{""type"":""Point"",""coordinates"":[-80.05503,26.57687]}"
148,Bank of Hiawassee,Hiawassee,Georgia,1268956800000,20100319,Citizens South Bank,378,224,1357420806903,1357421051167,1,-83.75839,34.95002,"{""type"":""Point"",""coordinates"":[-83.75839,34.95002]}"
149,Woodlands Bank,Bluffton,South Carolina,1279238400000,20100716,Bank of the Ozarks,376,225,1357420806903,1357421051835,1,-80.86133,32.23721,"{""type"":""Point"",""coordinates"":[-80.86133,32.23721]}"
